"Path_Leg_Name","Airfield_Name","Landing_Runway","Is_Intercept_Leg","Is_ILS_Leg","Is_Landing_Leg","Path_Leg_Type"
"Go_Around_09","EGLL",NA,0,0,0,"Go_Around"
"Go_Around_27","EGLL",NA,0,0,0,"Go_Around"
"ILS_CCT_09","EGLL",NA,0,0,0,"ILS_Circuit"
"ILS_CCT_27","EGLL",NA,0,0,0,"ILS_Circuit"
"ILS_R09L","EGLL","R09L",0,1,0,"ILS_Leg"
"ILS_R09R","EGLL","R09R",0,1,0,"ILS_Leg"
"ILS_R27L","EGLL","R27L",0,1,0,"ILS_Leg"
"ILS_R27R","EGLL","R27R",0,1,0,"ILS_Leg"
"Landing_R09L","EGLL","R09L",0,0,1,"Landing_Leg"
"Landing_R09R","EGLL","R09R",0,0,1,"Landing_Leg"
"Landing_R27L","EGLL","R27L",0,0,1,"Landing_Leg"
"Landing_R27R","EGLL","R27R",0,0,1,"Landing_Leg"
"Missed_09","EGLL",NA,0,0,0,"Missed_Approach"
"Missed_27","EGLL",NA,0,0,0,"Missed_Approach"
"N_Base_09","EGLL",NA,0,0,0,"Base_Leg"
"N_Base_09_To_ILS","EGLL",NA,0,0,0,"Base_Leg"
"N_Base_27","EGLL",NA,0,0,0,"Base_Leg"
"N_Base_27_To_ILS","EGLL",NA,0,0,0,"Base_Leg"
"N_Ext_Base_09","EGLL",NA,0,0,0,"Extended_Base"
"N_Ext_Base_09_To_ILS","EGLL",NA,0,0,0,"Extended_Base"
"N_Ext_Base_27","EGLL",NA,0,0,0,"Extended_Base"
"N_Ext_Base_27_To_ILS","EGLL",NA,0,0,0,"Extended_Base"
"N_Ext_Inter_09","EGLL",NA,0,0,0,"Extended_Intercept"
"N_Ext_Inter_09_To_ILS","EGLL",NA,0,0,0,"Extended_Intercept"
"N_Ext_Inter_27","EGLL",NA,0,0,0,"Extended_Intercept"
"N_Ext_Inter_27_To_ILS","EGLL",NA,0,0,0,"Extended_Intercept"
"N_Intercept_09","EGLL",NA,1,0,0,"Intercept_Leg"
"N_Intercept_09_To_ILS","EGLL",NA,1,0,0,"Intercept_Leg"
"N_Intercept_27","EGLL",NA,1,0,0,"Intercept_Leg"
"N_Intercept_27_To_ILS","EGLL",NA,1,0,0,"Intercept_Leg"
"RW_Switch_09","EGLL",NA,0,0,0,"RW_Switch"
"RW_Switch_27","EGLL",NA,0,0,0,"RW_Switch"
"S_Base_09","EGLL",NA,0,0,0,"Base_Leg"
"S_Base_09_To_ILS","EGLL",NA,0,0,0,"Base_Leg"
"S_Base_27","EGLL",NA,0,0,0,"Base_Leg"
"S_Base_27_To_ILS","EGLL",NA,0,0,0,"Base_Leg"
"S_Ext_Base_09","EGLL",NA,0,0,0,"Extended_Base"
"S_Ext_Base_09_To_ILS","EGLL",NA,0,0,0,"Extended_Base"
"S_Ext_Base_27","EGLL",NA,0,0,0,"Extended_Base"
"S_Ext_Base_27_To_ILS","EGLL",NA,0,0,0,"Extended_Base"
"S_Ext_Inter_09","EGLL",NA,0,0,0,"Extended_Intercept"
"S_Ext_Inter_09_To_ILS","EGLL",NA,0,0,0,"Extended_Intercept"
"S_Ext_Inter_27","EGLL",NA,0,0,0,"Extended_Intercept"
"S_Ext_Inter_27_To_ILS","EGLL",NA,0,0,0,"Extended_Intercept"
"S_Intercept_09","EGLL",NA,1,0,0,"Intercept_Leg"
"S_Intercept_09_To_ILS","EGLL",NA,1,0,0,"Intercept_Leg"
"S_Intercept_27","EGLL",NA,1,0,0,"Intercept_Leg"
"S_Intercept_27_To_ILS","EGLL",NA,1,0,0,"Intercept_Leg"
